architecture,seed,uid,class,category,classification_delta,dice,iou,area_relative_error,correction_norm,index
A3,17,training_set_metastatic_roi_022:385,tumor,both_wrong,0,0.8323699421965318,0.7128712871287128,0.3698630136986301,0.09304866194725037,27
A3,17,training_set_metastatic_roi_022:506,tumor,both_wrong,0,0.884272997032641,0.7925531914893617,0.1464968152866242,0.23720239102840424,28
A3,17,training_set_metastatic_roi_022:565,endothelium,both_wrong,0,0.7394094993581515,0.5865580448065173,0.7048611111111112,0.14381347596645355,29
A3,17,training_set_metastatic_roi_024:193,neutrophil,both_wrong,0,0.8148148148148148,0.6875,0.036637931034482756,0.24212203919887543,31
A3,17,training_set_metastatic_roi_025:6,tumor,both_wrong,0,0.8772597526165556,0.7813559322033898,0.156140350877193,0.3767295479774475,32
A3,17,training_set_metastatic_roi_025:287,tumor,both_wrong,0,0.9546313799621928,0.9132007233273056,0.0867992766726944,0.34123262763023376,33
A3,17,training_set_metastatic_roi_025:544,plasma_cell,both_wrong,0,0.9275675675675675,0.8649193548387096,0.1350806451612903,0.14745475351810455,34
A3,17,training_set_metastatic_roi_025:614,stroma,both_wrong,0,0.6662983425414365,0.4995857497928749,0.1717171717171717,0.18452061712741852,35
A3,17,training_set_metastatic_roi_026:12,tumor,both_correct,0,0.9573679332715477,0.9182222222222223,0.0055762081784386614,0.3013312518596649,36
A3,17,training_set_metastatic_roi_026:115,tumor,both_wrong,0,0.9131652661064426,0.8402061855670103,0.03125,0.1894245445728302,37
A3,17,training_set_metastatic_roi_026:403,histiocyte,both_wrong,0,0.7618283881315157,0.6152849740932642,0.14629948364888123,0.18476858735084534,38
A3,17,training_set_metastatic_roi_026:414,lymphocyte,both_correct,0,0.8198529411764706,0.6947040498442367,0.354978354978355,0.2904972434043884,39
A3,17,training_set_metastatic_roi_026:503,neutrophil,both_wrong,0,0.7939110070257611,0.658252427184466,0.17857142857142858,0.1377999186515808,40
A3,17,training_set_metastatic_roi_026:508,plasma_cell,both_correct,0,0.9124877089478859,0.8390596745027125,0.04216867469879518,0.2639937996864319,41
A3,17,training_set_metastatic_roi_028:632,plasma_cell,both_wrong,0,0.6472868217054264,0.4785100286532951,0.4597014925373134,0.11001171916723251,55
A3,17,training_set_metastatic_roi_031:126,apoptosis,both_wrong,0,0.888,0.7985611510791367,0.25225225225225223,0.6997936367988586,65
A3,17,training_set_metastatic_roi_032:288,plasma_cell,both_wrong,0,0.9194499017681729,0.850909090909091,0.14909090909090908,0.15708819031715393,66
